# All individual data points from all datasets
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
900	5 bar	0.6990	1.1111	1.627011	34.151135	RMD_Relax_900k_5atm
900	5 bar	0.6990	1.1111	1.555231	32.770780	RMD_Relax_900k_5atm
900	7.5 bar	0.8751	1.1111	1.615048	32.751345	RMD_Relax_900k_7.5atm
900	7.5 bar	0.8751	1.1111	1.603084	33.908602	RMD_Relax_900k_7.5atm
900	7.5 bar	0.8751	1.1111	1.555231	34.933354	RMD_Relax_900k_7.5atm
900	7.5 bar	0.8751	1.1111	1.638974	34.594589	RMD_Relax_900k_7.5atm
900	7.5 bar	0.8751	1.1111	1.698791	35.895913	RMD_Relax_900k_7.5atm
900	10 bar	1.0000	1.1111	1.567194	35.523914	RMD_Relax_900k_10atm
900	10 bar	1.0000	1.1111	1.650938	34.966993	RMD_Relax_900k_10atm
900	10 bar	1.0000	1.1111	1.543268	34.577640	RMD_Relax_900k_10atm
900	10 bar	1.0000	1.1111	1.710754	33.870926	RMD_Relax_900k_10atm
900	10 bar	1.0000	1.1111	1.591121	34.143237	RMD_Relax_900k_10atm
1000	0.1 bar	-1.0000	1.0000	1.125518	37.141322	RMD_Relax_1000k_0.1atm
1000	0.1 bar	-1.0000	1.0000	1.149465	36.127973	RMD_Relax_1000k_0.1atm
1000	0.1 bar	-1.0000	1.0000	1.329069	33.946158	RMD_Relax_1000k_0.1atm
1000	0.1 bar	-1.0000	1.0000	1.125518	38.829681	RMD_Relax_1000k_0.1atm
1000	0.1 bar	-1.0000	1.0000	1.257227	31.740369	RMD_Relax_1000k_0.1atm
1000	0.25 bar	-0.6021	1.0000	1.388937	36.293128	RMD_Relax_1000k_0.25atm
1000	0.25 bar	-0.6021	1.0000	1.269201	38.215756	RMD_Relax_1000k_0.25atm
1000	0.25 bar	-0.6021	1.0000	1.353016	35.409391	RMD_Relax_1000k_0.25atm
1000	0.25 bar	-0.6021	1.0000	1.197360	36.737057	RMD_Relax_1000k_0.25atm
1000	0.25 bar	-0.6021	1.0000	1.293148	33.436457	RMD_Relax_1000k_0.25atm
1000	0.5 bar	-0.3010	1.0000	1.233280	32.762769	RMD_Relax_1000k_0.5atm
1000	0.5 bar	-0.3010	1.0000	1.245254	34.135759	RMD_Relax_1000k_0.5atm
1000	0.5 bar	-0.3010	1.0000	1.353016	34.365888	RMD_Relax_1000k_0.5atm
1000	0.5 bar	-0.3010	1.0000	1.269201	33.355806	RMD_Relax_1000k_0.5atm
1000	0.5 bar	-0.3010	1.0000	1.233280	34.831170	RMD_Relax_1000k_0.5atm
1000	0.75 bar	-0.1249	1.0000	1.376963	31.332652	RMD_Relax_1000k_0.75atm
1000	0.75 bar	-0.1249	1.0000	1.257227	35.392833	RMD_Relax_1000k_0.75atm
1000	0.75 bar	-0.1249	1.0000	1.317095	33.749064	RMD_Relax_1000k_0.75atm
1000	0.75 bar	-0.1249	1.0000	1.257227	35.034242	RMD_Relax_1000k_0.75atm
1000	0.75 bar	-0.1249	1.0000	1.436831	34.479767	RMD_Relax_1000k_0.75atm
1000	1 bar	0.0000	1.0000	1.353016	35.258959	RMD_Relax_1000k_1atm
1000	1 bar	0.0000	1.0000	1.412884	32.334577	RMD_Relax_1000k_1atm
1000	1 bar	0.0000	1.0000	1.293148	32.363584	RMD_Relax_1000k_1atm
1000	1 bar	0.0000	1.0000	1.305122	32.813654	RMD_Relax_1000k_1atm
1000	1 bar	0.0000	1.0000	1.329069	35.554652	RMD_Relax_1000k_1atm
1000	2.5 bar	0.3979	1.0000	1.376963	34.321394	RMD_Relax_1000k_2.5atm
1000	2.5 bar	0.3979	1.0000	1.281175	33.191343	RMD_Relax_1000k_2.5atm
1000	2.5 bar	0.3979	1.0000	1.448805	32.286280	RMD_Relax_1000k_2.5atm
1000	2.5 bar	0.3979	1.0000	1.388937	33.650975	RMD_Relax_1000k_2.5atm
1000	2.5 bar	0.3979	1.0000	1.424858	31.790822	RMD_Relax_1000k_2.5atm
1000	5 bar	0.6990	1.0000	1.484726	31.018379	RMD_Relax_1000k_5atm
1000	5 bar	0.6990	1.0000	1.293148	33.740778	RMD_Relax_1000k_5atm
1000	5 bar	0.6990	1.0000	1.472752	32.133797	RMD_Relax_1000k_5atm
1000	5 bar	0.6990	1.0000	1.412884	34.413058	RMD_Relax_1000k_5atm
1000	5 bar	0.6990	1.0000	1.376963	32.584730	RMD_Relax_1000k_5atm
1000	7.5 bar	0.8751	1.0000	1.508673	33.249153	RMD_Relax_1000k_7.5atm
1000	7.5 bar	0.8751	1.0000	1.329069	33.854529	RMD_Relax_1000k_7.5atm
1000	7.5 bar	0.8751	1.0000	1.293148	31.702981	RMD_Relax_1000k_7.5atm
1000	7.5 bar	0.8751	1.0000	1.460779	31.202264	RMD_Relax_1000k_7.5atm
1000	7.5 bar	0.8751	1.0000	1.424858	31.345636	RMD_Relax_1000k_7.5atm
1000	10 bar	1.0000	1.0000	1.448805	32.092426	RMD_Relax_1000k_10atm
1000	10 bar	1.0000	1.0000	1.341043	32.806955	RMD_Relax_1000k_10atm
1000	10 bar	1.0000	1.0000	1.257227	34.984270	RMD_Relax_1000k_10atm
1000	10 bar	1.0000	1.0000	1.376963	30.017029	RMD_Relax_1000k_10atm
1000	10 bar	1.0000	1.0000	1.484726	31.391534	RMD_Relax_1000k_10atm
